name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Bigott,Person,Male,,,,Zaragoza,"Zaragoza, Zaragoza, Aragón, Spain",,Zaragoza,,
John Cooper Clarke,Person,Male,GB,1949-01-25,,Salford,"Salford, Salford, Greater Manchester, England, United Kingdom",,United Kingdom,,
Frankie Cosmos,Person,Female,,1994-03-21,,New York,"New York, New York, United States",,New York,,
Black Merda,Group,,US,,,,,,United States,,
Saba Lou,Group,,,,,,,,,,
Novedades Carminha,Group,,,2007-03,,,,,,,
Sures,Group,,,,,,,,Sydney,,
Allah-Las,Group,,US,2008,,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
Love Inks,Group,,US,,,Austin,"Austin, Travis County, Texas, United States",,United States,,
Jonny Greenwood,Person,Male,GB,1971-11-05,,Oxford,"Oxford, Oxfordshire, England, United Kingdom",,United Kingdom,,
Karen O,Person,Female,US,1978-11-22,,Busan,"Busan, South Korea",,United States,,
Chassol,Person,Male,FR,1976,,,,,France,,
THEESatisfaction,Group,,US,2008,,Seattle,"Seattle, King County, Washington, United States",,United States,,
Luiz Bonfá,Person,Male,BR,1922-10-17,2001-01-12,,,,Brazil,,
Sun Ra,Person,Male,US,1914-05-22,1993-05-30,Birmingham,"Birmingham, Jefferson County, Alabama, United States",,United States,,
Grace Slick,Person,Female,US,1939-10-30,,Evanston,"Evanston, Cook County, Illinois, United States",,United States,,
The West Coast Pop Art Experimental Band,Group,,US,1966,1970,Los Angeles,"Los Angeles, Los Angeles County, California, United States",,United States,,
The Holy Modal Rounders,Group,,US,1964,,Lower East Side,"Lower East Side, Manhattan, New York, New York, United States",,United States,,
Kevin Ayers,Person,Male,GB,1944-08-16,2013-02-18,,,,United Kingdom,,
The Pretty Things,Group,,GB,1963,,London,"London, England, United Kingdom",,United Kingdom,,
Lee Hazlewood,Person,Male,US,1929-07-09,2007-08-04,Mannford,"Mannford, Creek County, Oklahoma, United States",,United States,,
Dave Van Ronk,Person,Male,US,1936-06-30,2002-02-10,Brooklyn,"Brooklyn, New York, New York, United States",,United States,,
Quicksilver Messenger Service,Group,,US,1965,,San Francisco,"San Francisco, California, United States",,United States,,
Roy Harper,Person,Male,,1941-06-12,,Rusholme,"Rusholme, Manchester, Greater Manchester, England, United Kingdom",,Clonakilty,,
Fairport Convention,Group,,GB,1967,,London,"London, England, United Kingdom",,United Kingdom,,
The United States of America,Group,,US,1967,1969,,,,United States,,
The Incredible String Band,Group,,GB,1966,1974,Edinburgh,"Edinburgh, Scotland, United Kingdom",,United Kingdom,,
Gene Clark,Person,Male,US,1944-11-17,1991-05-24,Tipton,"Tipton, Moniteau County, Missouri, United States",,United States,,
Elizabeth Cotten,Person,Female,US,1895-01-05,1987-06-29,Chapel Hill,"Chapel Hill, Orange County, North Carolina, United States",,United States,,
Country Joe and the Fish,Group,,US,1965,,Berkeley,"Berkeley, Alameda County, California, United States",,United States,,
Tim Buckley,Person,Male,US,1947-02-14,1975-06-29,"Washington, D.C.","Washington, D.C., United States",,United States,,
Phil Ochs,Person,Male,US,1940-12-19,1976-04-09,Texas,"Texas, United States",,United States,,
The Electric Prunes,Group,,US,1965,1970,San Fernando,"San Fernando, Los Angeles County, California, United States",,United States,,
Bert Jansch,Person,Male,GB,1943-11-03,2011-10-05,Glasgow,"Glasgow, Scotland, United Kingdom",,United Kingdom,,
Fu Manchu,Group,,US,1990,,San Clemente,"San Clemente, Orange County, California, United States",,United States,,
Colour Haze,Group,,DE,1994,,Munich,"Munich, Bayern, Germany",,Germany,,
